por	pob
A continuaçaõ das unturas fica na determinaçaõ do Medico , ou Cirurgiaõ , porque se devem dar atè que haja alguma evacuaçaõ manifesta do azougue , que he rebentar a boca , inchar a língua , babar , ou fazer cursos.	A continuação das unturas fica na determinação do Médico, ou Cirurgião, porque se devem dar até que haja alguma evacuação manifesta do azougue, que é rebentar a boca, inchar a língua, babar, ou fazer cursos.
Estes pós naõ evacuaõ , he verdade , tanto como hum laxante , mas elles conservaõ o ventre livre , desfazem , e despegaõ as materias ; e a pouca evacuaçaõ , que produzem , allivia infinitamente o doente , diminue a tesura , e a elevaçaõ do ventre , e prepara os humores para o remedio purgante .	Estes pós não evacuam, é verdade, tanto como um laxante, mas eles conservam o ventre livre, desfazem, e despegam as matérias; e a pouca evacuação, que produzem, alivia infinitamente o doente, diminui a tesura, e a elevação do ventre, e prepara os humores para o remédio purgante.
4 . Da mesma sorte estando Dona Isabel Guilherme minha mulher doente com huma febre maligna da mais venenosa qualidade que eu vi depois que sou Medico , lhe dei seis dias o meu Cordeal purgativo , & depois que entendi tinha evacuado grande quantidade de humor , vendo  os crescim tos se hiaõ augmentando de dia em dia com notavel excesso , temendo que no quatorzeno , que era o dia da sezaõ mayor , morresse , me resolvi no dia treze , em  a sezaõ naõ era taõ cruel , a darlhe sete copos da agua de Inglaterra , esperando que com aquella prevençaõ de sete copos dados em vinte horas , viesse a sezaõ mais branda , de sorte que naõ matasse a doente , como era factivel que succedesse , & eu certamente o temia ; & foy Deos servido que sem embargo da sezaõ naõ ser intermittente , nem entrar com frio , nem calafrios , mas só por huma ser mayor  outra , livrasse da morte por beneficio destes dous remedios em vinte & oito de Nov bro de 1705 .	4. Da mesma sorte estando Dona Isabel Guilherme minha mulher doente com uma febre maligna da mais venenosa qualidade que eu vi depois que sou Médico, lhe dei seis dias o meu Cordial purgativo, e depois que entendi tinha evacuado grande quantidade de humor, vendo os crescimentos se iam aumentando de dia em dia com notável excesso, temendo que no quatorzeno, que era o dia da sezão maior, morresse, me resolvi no dia treze, em a sezão não era tão cruel, a dar-lhe sete copos da água de Inglaterra, esperando que com aquela prevenção de sete copos dados em vinte horas, viesse a sezão mais branda, de sorte que não matasse a doente, como era factível que sucedesse, e eu certamente o temia; e foi Deus servido que sem embargo da sezão não ser intermitente, nem entrar com frio, nem calafrios, mas só por uma ser maior outra, livrasse da morte por beneficio destes dois remédios em vinte e oito de Novembro de 1705.
Advertencias muito importantes para a saude do enfermo , que o Enfermeiro deve observar .	Advertências muito importantes para a saúde do enfermo, que o Enfermeiro deve observar.
Eis-aqui pois o tratamento , que se deve seguir para curar as febres podres , e remittentes : se se conhecer pela dureza do pulso , pela vermelhidaõ do rosto , e principalmente pela constituiçaõ sanguinea do doente , que he moço , robusto , e vigoroso , se se conhecer , digo , que ha alguma disposiçaõ infammatoria junta com a febre podre , entaõ he precizo , como eu ja disse , fazer huma , ou duas sangrias , que se faraô immediatamente depois do tremor , e no maior impeto do primeiro , ou do segundo crescimento ; estas podem-se estender até tres , se a febre , e a dureza do pulso subsistirem no mesmo grão , ou se augmentarem ; com tudo he raro , que cada hum se veja obrigado a fazer mais , e esta quantidade ordinariamente basta para fazer amollecer o pulso , evacuar os vasos , e diminuir a febre ; se e o pulso pelo contrario naõ fòr duro , se o doente fôr de huma constituiçaõ fraca ; finalmente se se naõ puder suspeitar symptoma algum de inflammaçaõ , entaõ póde cada hum , e até mesmo deve abster-se da sangria , porque esta em tal caso seria nociva , diminuindo as forças do doente , desenchendo as vêas , o que daria lugar a passarem as materias corruptas das primeiras vias para o sangue .	Eis-aqui pois o tratamento, que se deve seguir para curar as febres podres, e remitentes: se se conhecer pela dureza do pulso, pela vermelhidão do rosto, e principalmente pela constituição sanguínea do doente, que é moço, robusto, e vigoroso, se se conhecer, digo, que há alguma disposição infamatória junta com a febre podre, então é preciso, como eu já disse, fazer uma, ou duas sangrias, que se farão imediatamente depois do tremor, e no maior ímpeto do primeiro, ou do segundo crescimento; estas podem-se estender até três, se a febre, e a dureza do pulso subsistirem no mesmo grão, ou se aumentarem; com tudo é raro, que cada um se veja obrigado a fazer mais, e esta quantidade ordinariamente basta para fazer amolecer o pulso, evacuar os vasos, e diminuir a febre; se e o pulso pelo contrário não for duro, se o doente for de uma constituição fraca; finalmente se se não puder suspeitar não algum de inflamação, então pôde cada um, e até mesmo deve abster-se da sangria, porque esta em tal caso seria nociva, diminuindo as forças do doente, desenchendo as veias, o que daria lugar a passarem as matérias corruptas das primeiras vias para o sangue.
DAndo ao enfermo fóra de horas huma colica , a que o Medico naõ possa acudir logo , perguntareis ao enfermo se comeo mais do costumado , e se tem o estomago azedo , e cheyo ; porèm naõ estando inclinado a vomitar , lhe lançareis algumas ajudas commuas na fórma jà referida , e logo lhe dareis hum vomitorio ; e no caso que o enfermo tenha vontade de vomitar , seraõ as ajudas depois do vomitorio .	Dando ao enfermo fora de horas uma cólica, a que o Médico não possa acudir logo, perguntareis ao enfermo se comeu mais do costumado, e se tem o estômago azedo, e cheio; porém não estando inclinado a vomitar, lhe lançareis algumas ajudas comuas na forma já referida, e logo lhe dareis hum vomitório; e no caso que o enfermo tenha vontade de vomitar, serão as ajudas depois do vomitório.
Os que attenderem bem a todos eftes signaes , poderáõ seguramente prognosticar a hemorrhagia , e vê-la chegar a ponto dado com grande admiraçaõ dos assistentes , como ja me tem succedido muitas vezes ; se ella chegar , naõ se deve ter o trabalho de a fazer parar ; por grande que pareça , porque he salutifera , e faz terminar bem depressa a doença .	Os que atenderem bem a todos estes sinais, poderão seguramente prognosticar a hemorragia, e vê-la chegar a ponto dado com grande admiração dos assistentes, como já me tem sucedido muitas vezes; se ela chegar, não se deve ter o trabalho de a fazer parar; por grande que pareça, porque é salutífera, e faz terminar bem depressa a doença.
Naõ dareis de comer ao enfermo logo que sahir do banho , que he preciso seja depois delle huma hora, que sendo antes lhe naõ serviria o banho de proveito; porèm se o enfermo estiver fraco, lhe podereis dar somente assim que sahir hum caldo de galinha.	Não dareis de comer ao enfermo logo que sair do banho, que é preciso seja depois dele uma hora, que sendo antes lhe não serviria o banho de proveito; porém se o enfermo estiver fraco, lhe podereis dar somente assim que sair um caldo de galinha.
De huma febre causada de enchimento do estomago ; para remedio da qual se deraõ vinte sangrias , & por isso degenerou a febre em maligna de tam venenosa qualidade , que o doente chegou a estar ungido , & certamente morreria , se eu lhe naô acudira dandolhe o meu Bezoartico , com cuja virtude solutiva ,  & cardiaca foi lentamente purgando os humores damnosos , & rebatendo a qualidade venenosa , & por este caminho o livrei da da morte estando quasi metido na sepultura.	De uma febre causada de enchimento do estômago; para remédio da qual se deram vinte sangrias, e por isso degenerou a febre em maligna de tão venenosa qualidade, que o doente chegou a estar ungido, e certamente morreria, se eu lhe não acudira dando-lhe o meu Bezoártico, com cuja virtude solutiva, e cardíaca foi lentamente purgando os humores danosos, e rebatendo a qualidade venenosa, e por este caminho o livrei da morte estando quase metido na sepultura.
Joaõ Beguino fallando sobre os oleos de Vitriolo , & de enxofre diz o seguinte : Pode dar se o oleo de Vitriolo , ou o do enxofre misturado com aguas appropriadas , ou com xaropes adequados para as doenças , de seis gottas até oito , assim nas doenças quentes , como nas frias.	João Beguino falando sobre os óleos de Vitríolo, e de enxofre diz o seguinte: Pode dar-se o óleo de Vitríolo, ou o do enxofre misturado com águas apropriadas, ou com xaropes adequados para as doenças, de seis gotas até oito, assim nas doenças quentes, como nas frias.
Se da primeira vez que se daõ estes vomitorios , elles naõ fizerem bastante efeito , e se os doentes conservarem as suas forças , podem-se repetir no dia seguinte .	Se da primeira vez que se dão estes vomitórios, eles não fizerem bastante efeito, e se os doentes conservarem as suas forças, podem-se repetir no dia seguinte.
A sangria he inutil , e mesmo perniciosa nas febres malignas , ao menos que ellas se naõ achem acompanhadas de algum symptoma inflammatorio , que se conhecerá pelos signaes particulares que eu ja mostrei no Capitulo precedente ; se houvesse estes signaes , e que o cerebro estivesse com seus vasos muito cheios , entaõ seria conveniente fazer a sangria no pé com preferencia á do braço ; muitas vezes esta sangria serve de prevenir , ou curar o delirio ; que he a consequencia de similhante accumulaçaõ de sangue ; em qualquer outro caso a sangria he contraria .	A sangria é inútil, e mesmo perniciosa nas febres malignas, ao menos que elas se não achem acompanhadas de algum sintoma inflamatório, que se conhecerá pelos sinais particulares que eu já mostrei no Capítulo precedente; se houvesse estes sinais, e que o cérebro estivesse com seus vasos muito cheios, então seria conveniente fazer a sangria no pé com preferência a do braço; muitas vezes esta sangria serve de prevenir, ou curar o delírio; que é a consequência de semelhante acumulação de sangue; em qualquer outro caso a sangria é contrária.
Bastantes indícios eraõ estes , para que o na primeira visita conhecesse que no estomago estava a causa da febre , & que por esta razaõ convinha darlhe logo hum vomitorio de tres onças de agua benedicta vigorada , ou huma onça de agua Angelica , ou dous escropulos de vitriolo branco , ou huma infusaõ de duas oitavas de folhas de sene com cinco onças de assucar rosado de Alexandria ; ou , o que era mais suave , duas oitavas dos meus trociscos de Fioravanto , polvorizados , & misturados com hum pouco de caldo de galinha ; porque aliviado o estomago da grande carga que tinha , se tiraria a febre , como muitas vezes succede , & eu o tenho visto ; & por consequencia se escusariaõ as sangrias ; ou bastariaõ poucas , & naõ chegaria o doente a tanto perigo.	Bastantes indícios eram estes, para que o na primeira visita conhecesse que no estômago estava a causa da febre, e que por esta razão convinha dar-lhe logo um vomitório de três onças de água benedita vigorada, ou uma onça de água Angélica, ou dois escrópulos de vitríolo branco, ou uma infusão de duas oitavas de folhas de sene com cinco onças de açúcar rosado de Alexandria; ou, o que era mais suave, duas oitavas dos meus trociscos de Fioravanto, pulverizados, e misturados com um pouco de caldo de galinha; porque aliviado o estômago da grande carga que tinha, se tiraria a febre, como muitas vezes sucede, e eu o tenho visto; e por consequência se escusariam as sangrias; ou bastariam poucas, e não chegaria o doente a tanto perigo.
Quanto aos remedios internos daõ-se poucos na peripneumonia , por todo o tempo em quanto a febre he forte , e deve cada hum contentar-se com o fazer beber em abundancia os doentes da primeira tifana do N.º 5. ; a terceira , que he huma panada nutriente servirá de caldo ; e para facilitar a sahida dos escarros , dar-se-ha de huma hora a outra huma colher da bebida indicadaem o N.º 6 .	Quanto aos remédios internos dão-se poucos na peripneumonia, por todo o tempo enquanto a febre é forte, e deve cada um contentar-se com o fazer beber em abundância os doentes da primeira tisana do N.º 5.; a terceira, que é uma panada nutriente servirá de caldo; e para facilitar a saída dos escarros, dar-se-á de uma hora a outra uma colher da bebida indicada em o N.º 6.
T'ratando de huma , trato ao mesmo tempo do outro ; porque estas duas doenças naõ saõ outra couza , senaõ huma febre podre com accumulaçaõ , e demora de escarros no bofe .	Tratando de uma, trato ao mesmo tempo do outro; porque estas duas doenças não são outra coisa, senão uma febre podre com acumulação, e demora de escarros no bofe.
Tambem se conhece outra especie de peripneumonia , que se chama podre , ou biliosa ; quando ella he acompanhada de dôr , ou de pontada no lado , entaõ chama-se Pleuriz podre , ou bilioso .	Também se conhece outra espécie de peripneumonia, que se chama podre, ou biliosa; quando ela é acompanhada de dor, ou de pontada no lado, então chama-se Pleuris podre, ou bilioso.
Ha com tudo algumas circunstancias , que impedem o dar segundo vomitorio , ainda que se conheça que seria necessario , que o doente fosse evacuado por cima , e por baixo , nem seria mesmo prudente dar entaõ algum simples purgante ; estas circunstancias , saõ o meteorismo , ou elevaçaõ do baixo ventre , que está inchado ; e hum pouco tezo , os sobresaltos dos tendões dos pulsos , que se sentem , quando se toma o pulso ao doente ; o que annuncia ordinariamente huma abundancia das materias corruptas , e viscosas , que se accumulaõ nos intestinos , ou tripas ; he precizo entaõ supprir os vomitorios , e os purgantes pelas mezinhas , e pelo uso dos pós do N. 17.	Há com tudo algumas circunstâncias, que impedem o dar segundo vomitório, ainda que se conheça que seria necessário, que o doente fosse evacuado por cima, e por baixo, nem seria mesmo prudente dar então algum simples purgante; estas circunstâncias, são o meteorismo, ou elevação do baixo ventre, que está inchado; e um pouco teso, os sobressaltos dos tendões dos pulsos, que se sentem, quando se toma o pulso ao doente; o que anuncia ordinariamente uma abundância das matérias corruptas, e viscosas, que se acumula nos intestinos, ou tripas; é preciso então suprir os vomitórios, e os purgantes pelas mezinhas, e pelo uso dos pós do N. 17.
7. Da admiravel virtude , que tem os pombos escalados postos nas solas dos pès , para affastar do coraçaõ os vapores malignos, diminuir as dores de cabeça , & moderar os delirios , escrevèraõ muitos Authores .	7. Da admirável virtude, que tem os pombos escalados postos nas solas dos pés, para afastar coração os vapores malignos, diminuir as dores de cabeça, e moderar os delírios, escreveram muitos Autores.
Se o enfermo for costumado a desmayar-se , se lhe dará agoa bem fria para ter na boca em quanto se lhe faz a sangria ; e em a dita agoa se lhe aquentando na boca , a lançará fóra , e se lhe dará outra ; e quando isto naõ baste , se lhe borrife a cara ; e naõ podendo evitar o desmayo , dirá o Enfermeiro ao Sangrador tape a veya .	Se o enfermo for costumado a desmaiar-se, se lhe dará água bem fria para ter na boca em quanto se lhe faz a sangria; e em a dita água se lhe aquentando na boca, a lançará fora, e se lhe dará outra; e quando isto não baste, se lhe borrife a cara; e não podendo evitar o desmaio, dirá o Enfermeiro ao Sangrador tape a veia.
Quando a doença toma huma tal mudança , devemos ter toda a esperança , e entaõ naõ pede outros remedios , senaõ a tisana , algumas colheres do lambedor do N.º 7. , e a dieta .	Quando a doença toma uma tal mudança, devemos ter toda a esperança, e então não pede outros remédios, senão a tisana, algumas colheres do lambedor do N.º 7., e a dieta.
Naõ será muito que ao enfermo , estando melhor , se lhe torne a augmentar a queixa , se no corpo conservar a camiza çuja , a qual se naõ ha de mudar em dia de purga .	Não será muito que ao enfermo, estando melhor, se lhe torne a aumentar a queixa, se no corpo conservar a camisa suja, a qual se não há de mudar em dia de purga.
Das Febres Malignas .	Das Febres Malignas.
Os remedios que uso muitas vezes , por serem quasi infalliveis , saõ os dois seguintes .	Os remédios que uso muitas vezes, por serem quase infalíveis, são os dois seguintes.
OBSERVAÇAM LXXXVIII .	OBSERVAÇÃO LXXXVIII.
Sendo a evacuaçaõ por suor copioso , se lhe deitaráõ lançoes enxutos , e enxovalhados , defumados , e quentes , em fórma , que o enfermo naõ receba nenhum ar , porque lhe faria grande prejuizo .	Sendo a evacuação por suor copioso, se lhe deitarão lençóis enxutos, e enxovalhados, defumados, e quentes, em forma, que o enfermo não receba nenhum ar, porque lhe faria grande prejuízo.
CAPITULO XXXII .	CAPÍTULO XXXII.
2: O Reverendo Padre Frey Antonio de Tancos , Religioso Carmelita Calçado , teve em 14 . de Agosto de 1665 . huma febre grandissima acompanhada de varios symptomas , que demostravaõ ser procedida de enchimento de estomago , porque padecia amargores de boca , dores na parte dianteira da cabeça , desejos de vomitar , & fastio taõ horrendo , que nem podia comer , nem ouvir falar nisso ; & o que fazia mayor prova que a febre procedia de carga do estomago era ser o dito Frade musico , costumado a andar em festas , & banquetes , & dado a vida sedentaria , & regalona .	2. O Reverendo Padre Frei Antonio de Tancos, Religioso Carmelita Calçado, teve em 14. de Agosto de 1665. uma febre grandíssima acompanhada de vários sintomas, que demostravam ser procedida de enchimento de estômago, porque padecia amargores de boca, dores na parte dianteira da cabeça, desejos de vomitar, e fastio tão horrendo, que nem podia comer, nem ouvir falar nisso; e o que fazia maior prova que a febre procedia de carga do estômago era ser o dito Frade músico, costumado a andar em festas, e banquetes, e dado a vida sedentária, e regalona.
Todos os dias se estaõ vendo doentes sahirem , por assim dizer , das bordas da sepultura pelo uso do lambeder com o kermes , e do emplastro vesicatorio ; assim em taes circunstancias naõ posso deixar de recommendar muito a prática destes remedios .	Todos os dias se estão vendo doentes saírem, por assim dizer, das bordas da sepultura pelo uso do lambedor com o kermes, e do emplastro vesicatório; assim em tais circunstâncias não posso deixar de recomendar muito a prática destes remédios.
Será bom advertir qual destes remedios se ha de fazer primeiro , para que resulte o bom fim , para que se applicaõ , que he a saude do enfermo ; e o Enfermeiro faça bem a sua obrigaçaõ .	Será bom advertir qual destes remédios se há de fazer primeiro, para que resulte o bom fim, para que se aplicam, que é a saúde do enfermo; e o Enfermeiro faça bem a sua obrigação.
Se as febres podres saõ abandonadas a si mesmas , se saõ mal tratadas , ou se saõ superiores á força dos remedios : eis-aqui qual he pouco mais , ou menos a sua marcha ordinaria .	Se as febres podres são abandonadas a si mesmas, se são mal tratadas, ou se são superiores à força dos remédios: eis-aqui qual é pouco mais, ou menos a sua marcha ordinária.
Naõ obstante esta advertencia , saiba o Enfermeiro , que sempre as purgas se daõ na declinaçaõ do crescimento , ou sejaõ dobres , ou naõ sejaõ .	Não obstante esta advertência, saiba o Enfermeiro, que sempre as purgas se dão na declinação do crescimento, ou sejam dobres, ou não sejam.
Se o Medico determinar façais ao enfermo hum banho dos joelhos para baixo, a que chamaõ semicupio, o mandareis sentar na cama; e tendo os pés dentro da bacia, lhe hireis lançando agoa com hum jarro de bico, de fórma, que naõ escalde, por espaço de hum quarto de hora; e acabado o dito tempo , o enxugareis muito bem, para se deitar na cama.	Se o Médico determinar façais ao enfermo um banho dos joelhos para baixo, a que chamam semicúpio, o mandareis sentar na cama; e tendo os pés dentro da bacia, lhe ireis lançando água com um jarro de bico, de forma, que não escalde, por espaço de um quarto de hora; e acabado o dito tempo, o enxugareis muito bem, para se deitar na cama.
CAPITULO XLVII .	CAPÍTULO XLVII.
De qualquer modo que a couza succeda , deve-se logo pôr tudo em uso para provocar , e tornar a chamar a evacuaçaõ dos escarros ; eis-aqui porque se a doença : naõ estiver muito adiantada , quero dizer , se naõ estiver além do setimo dia ; e os doentes forem moços , robustos , se os ultimos escarros , que elles lançaraõ , eraõ ainda tinctos de sangue ; finalmente se o pulso airda fôr assás forte , póde-se ; e mesmo deve-se fazer huma , e ainda duas sangrias , ordenar ao mesmo tempo huma bebida copiosa de tisana bem que , repetir as fomentações emollientes sobre o peito , e recorrer á inspizaçaõ do fumo do vinagre ; estes remedios administrados promptamente restabelecem , e tornaõ a fazer continuar a evacuaçaõ dos escarros algunas vezes , e a doença torna entaõ a tomar o seu curso ordinario .	De qualquer modo que a coisa suceda, deve-se logo pôr tudo em uso para provocar, e tornar a chamar a evacuação dos escarros; eis-aqui porque se a doença: não estiver muito adiantada, quero dizer, se não estiver além do sétimo dia; se os doentes forem moços, robustos, se os últimos escarros, que eles lançaram, eram ainda tintos de sangue; finalmente se o pulso ainda for assaz forte, pode-se; e mesmo deve-se fazer uma, e ainda duas sangrias, ordenar ao mesmo tempo uma bebida copiosa de tisana bem que, repetir as fomentações emolientes sobre o peito, e recorrer à inspiração do fumo do vinagre; estes remédios administrados prontamente restabelecem, e tornam a fazer continuar a evacuação dos escarros algumas vezes, e a doença torna então a tomar o seu curso ordinário.
A estas perguntas respondo , que todos estes remedios pudera fazer , porque de todos costumo usar com grande fortuna ; mas que naõ me vali delles , porque como o calor da casa , & o ar , que o doente respirava , eraõ os mayores cumplices da febre , & da sua renitencia , importariaõ pouco todos os outros remedios , senaõ mudasse ao doente para casa fresca , como o fiz naõ só a este , mas a hum filho de hum sombreireiro morador ao Tronco , o qual teve hũa febre taõ teimosa , que a nenhum remedio obedeceo , atè que soube que debaixo da sua cama ficava a fornalha em que se fabricavaõ os chapeos , & o mesmo foy mudallo para outra casa fresca , & darlhe a agua nevada , que ter logo saude ; & para mayor confirmaçaõ do muito que importa , que os febricitantes estejaõ em casas frescas , & lavadas dos ares , contarei a seguinte Observaçaõ .	A estas perguntas respondo, que todos estes remédios pudera fazer, porque de todos costumo usar com grande fortuna; mas que não me vali deles, porque como o calor da casa, e o ar, que o doente respirava, eram os maiores cúmplices da febre, e da sua renitência, importariam pouco todos os outros remédios, senão mudasse ao doente para casa fresca, como o fiz não só a este, mas a um filho de um sombreireiro morador ao Tronco, o qual teve uma febre tão teimosa, que a nenhum remédio obedeceu, até que soube que debaixo da sua cama ficava a fornalha em que se fabricavam os chapéus, e o mesmo foi mudá-lo para outra casa fresca, e dar-lhe a água nevada, que ter logo saúde; e para maior confirmação do muito que importa, que os febricitantes estejam em casas frescas, e lavadas dos ares, contarei a seguinte Observação.
CAPITULO XXXIV.	CAPÍTULO XXXIV.
No principio destes suores he muito conveniente dar ao enfermo seis onças de agoa de lingua de boy , ou de escorcioneira , com pedra bazar , do tamanho de hum graõ de comer .	No princípio destes suores é muito conveniente dar ao enfermo seis onças de água de língua de boi, ou de escorcioneira, com pedra bazar, do tamanho de um grão de comer.
HE muito preciso que o Enfermeiro tenha particular cuidado em dar agoa aos enfermos , naõ quando a pedirem , mas sim quando della necessitarem , e a muitos sem a pedirem , principalmente aos delirantes , e aos que estaõ fóra da sua propria advertencia ; que muitas vezes em enfermos de differentes enfermidades , principalmente nas malignas , taõ prejudicial he tirar-lhes a agoa a seu tempo , como dar-lha fóra delle , sem antever lhes he , ou naõ precisa .	É muito preciso que o Enfermeiro tenha particular cuidado em dar água aos enfermos, não quando a pedirem, mas sim quando dela necessitarem, e a muitos sem a pedirem, principalmente aos delirantes, e aos que estão fora da sua própria advertência; que muitas vezes em enfermos de diferentes enfermidades, principalmente nas malignas, tão prejudicial é tirar-lhes a água a seu tempo, como dar-lha fora dele, sem antever lhes é, ou não precisa.
OBSERVAÇAM XLII .	OBSERVAÇÃO XLII.
Depois do tremor seguese muitas vezes hum grande calôr ; o pullo he ligeiro , sem ser duro , menos que estas febres se naõ achem complicadas com alguma disposiçaõ in flammatoria ; e isto he o à que se deve fazer huma attençaõ seria , examinando o estado do pulso ; porque se elle he duro , e cheio , convém sangrar , até que fique mais molle , em lugar que se elle naõ he nem duro , nem cheio , quasi que naõ saõ necessarias as sangrias : huma , ou duas ordinariamente bastaõ ; e até mesmo se pode passar sem ellas muitissimas vezes , ao menos se as dôres de cabeça naõ forem violentas .	Depois do tremor segue-se muitas vezes um grande calor; o pulo é ligeiro, sem ser duro, menos que estas febres se não achem complicadas com alguma disposição inflamatória; e isto é o à que se deve fazer uma atenção seria, examinando o estado do pulso; porque se ele é duro, e cheio, convém sangrar, até que fique mais mole, em lugar que se ele não é nem duro, nem cheio, quase que não são necessárias as sangrias: uma, ou duas ordinariamente bastão; e até mesmo se pode passar sem elas muitíssimas vezes, ao menos se as dores de cabeça não forem violentas.
Se o enfermo conservar a purga , e naõ obrar com ella , tendo passado quatro horas , lhe lançareis huma ajuda .	Se o enfermo conservar a purga, e não obrar com ela, tendo passado quatro horas, lhe lançareis uma ajuda.
Deve o Enfermeiro advertir ao enfermo se naõ mova , nem se descubra , e abrigallo com a mesma roupa , que tiver , ou pouca mais , para que o enfermo se naõ fatigue , que he o principal para que o enfermo o possa conservar .	Deve o Enfermeiro advertir ao enfermo se não mova, nem se descubra, e abrigá-lo com a mesma roupa, que tiver, ou pouca mais, para que o enfermo se não fatigue, que é o principal para que o enfermo o possa conservar.
E para conheceres se está inflammado, observareis se a febre he grande, e ardente; se tem dor grande na parte; e em tal caso se lhe augmentará mais a queixa ao enfermo, feita a untura com os dedos ; e naõ só nesta parte, mas em qualquer , que esteja inflammada.	E para conheceres se está inflamado, observareis se a febre é grande, e ardente; se tem dor grande na parte; e em tal caso se lhe aumentará mais a queixa ao enfermo, feita a untura com os dedos; e não só nesta parte, mas em qualquer, que esteja inflamada.
Quando ao Enfermeiro lhe parecer conveniente , lhe limpará o suor com huma toalha por baixo da roupa , de fórma , que o enfermo naõ receba algum ar frio : logo lhe vestirá camiza limpa , bem enxovalhada nas mãos , quente , e defumada com alecrim .	Quando ao Enfermeiro lhe parecer conveniente, lhe limpará o suor com uma toalha por baixo da roupa, de forma, que o enfermo não receba algum ar frio: logo lhe vestirá camisa limpa, bem enxovalhada nas mãos, quente, e defumada com alecrim.
A quantidade será moderada , conforme os tempos , e quantidade de cursos , que o enfermo fizer .	A quantidade será moderada, conforme os tempos, e quantidade de cursos, que o enfermo fizer.
teve hũa terçãa continua de venenosa qualidade ; & porque era continua , & entrava sem frio , nem tremor , me naõ atrevia a darlhe a quinaquina ; porèm vendo hũ dia , que a febre , & symptomas ,  costumavaõ ser menores , cresceraõ , & se exacerbaraõ com tanto excesso , que excederaõ a sezaõ , que era grande , temi ,  no dia seguinte , que era o da sezaõ mais forte , & formidavel , naõ escapasse della com vida ; neste perigo taõ evidente , se me fez preciso valer da consideraçaõ de que as primeiras sezões tinhaõ sido desiguaes, por  hũas eraõ muito pequenas , & outras muito grandes , & que neste aperto naõ avia outro remedio mais que reputar as taes sezões , como se fossem intermittentes , & fiado nesta taboa dei a quinaquina cinco vezes naquelle dia , por ser o de menor sezaõ , & para assim poder salvar ao Eminentissimo Senhor do perigo que no dia seguinte podia ter , por ser o da sezaõ desmedidamente grande .	teve uma terçã contínua de venenosa qualidade; e porque era contínua, e entrava sem frio, nem tremor, me não atrevia a dar-lhe a quinaquina; porém vendo um dia, que a febre, e sintomas,  costumavam ser menores, cresceram, e se exacerbaram com tanto excesso, que excederam a sezão, que era grande, temi,  no dia seguinte, que era o da sezão mais forte, e formidável, não escapasse dela com vida; neste perigo tão evidente, se me fez preciso valer da consideração de que as primeiras sezões tinham sido desiguais, por  umas eram muito pequenas, e outras muito grandes, e que neste aperto não havia outro remédio mais que reputar as tais sezões, como se fossem intermitentes, e fiado nesta tábua dei a quinaquina cinco vezes naquele dia, por ser o de menor sezão, e para assim poder salvar ao Eminentíssimo Senhor do perigo que no dia seguinte podia ter, por ser o da sezão desmedidamente grande.
Sendo de Veraõ , será frio ; e de Inverno , quente .	Sendo de Verão, será frio; e de Inverno, quente.
Tanto tem os suores de nocivos ; e máos nos primeiros dias da doença , quanto tem de favoraveis , e salutiferos nos ultimos ; mas he precizo notar , que esta evacuaçaõ , que com razaõ se respeita como critica , porque termina a doença , e a muda para melhor , algumas vezes he precedida de certos accidentes , ou symptomas , que metem medo aos doentes , e aos que trataõ delles ; humas vezes saõ fraquezas , desmaios , suores frios , palpitações , oppressões , agonias de coraçaõ , movimentos convulsivos , ou outros symptomas , que parecem pôr a vida dos doentes em perigo ; he precizo pois fugir cada hum de mudar de methodo , e recorrer a remedios particulares ; porque he constante , e certo , que todos estes symptomas naõ saõ produzidos senaõ pelos esforços , que a natureza faz para combater a doença , e livrar-se della ; assim os remedios , que entaõ se dellem , seriaõ capazes de a perturbar nas suas operações , de embaraçar a crise , e de fazer transportar a materia morbifica , que hia ja a sahir pelos suôres , pelos escarros , ou pelas dejecções do ventre , de a fazer transportar , digo , para alguma outra parte , aonde formal se hum deposito , que matasse o doente , suppondo que elle se fizesse sobre alguma parte interna necessaria á vida , como v. gr. o figado , o cerebro &c. , ou que produzisse hum abscesso perigoso , e dificil de curar , se o transporte se fizesse para alguma parte exterior .	Tanto tem os suores de nocivos; e maus nos primeiros dias da doença, quanto tem de favoráveis, e salutíferos nos últimos; mas é preciso notar, que está evacuação, que com razão se respeita como critica, porque termina a doença, e a muda para melhor, algumas vezes é precedida de certos acidentes, ou sintomas, que metem medo aos doentes, e aos que tratam deles; umas vezes são fraquezas, desmaios, suores frios, palpitações, opressões, agonias de coração, movimentos convulsivos, ou outros sintomas, que parecem pôr a vida dos doentes em perigo; é preciso pois fugir cada um de mudar de método, e recorrer a remédios particulares; porque é constante, e certo, que todos estes sintomas não são produzidos senão pelos esforços, que a natureza faz para combater a doença, e livrar-se dela; assim os remédios, que então se dessem, seriam capazes de a perturbar nas suas operações, de embaraçar a crise, e de fazer transportar a matéria morbífica, que ia já a sair pelos suores, pelos escarros, ou pelas dejecções do ventre, de a fazer transportar, digo, para alguma outra parte, aonde formal se um deposito, que matasse o doente, supondo que ele se fizesse sobre alguma parte interna necessária à vida, como v. gr. o fígado, o cérebro etc., ou que produzisse um abscesso perigoso, e difícil de curar, se o transporte se fizesse para alguma parte exterior.
